ORDERKEY,CUSTKEY,ORDERSTATUS,TOTALPRICE,ORDERDATE,ORDERPRIORITY,CLERK,SHIPPRIORITY,COMMENT
751979363,923039637,1081905895,580076193,224482870,1567909307,1346779576,190488622,20521460632
790191195,922882815,1082224231,579714515,224400497,1567260144,1346300336,190718767,20776726559
753272127,922722845,1081900010,579316284,220072717,1565950660,1346316147,190886947,20516387730
790459602,922151510,1082082286,578689893,222488774,1566327032,1346686767,190394407,20772023990
753037838,922868578,1082391317,579396339,227104838,1567478893,1346873447,190451374,20515900596
790458937,922985171,1081913305,577821495,220193890,1567156047,1347227305,191017276,20772676418
752117746,923233020,1082312037,579556609,225381324,1566914723,1346737006,190473985,20511937564
790353831,922874372,1082473607,579070872,222327862,1566103587,1347224731,190422642,20774637170
753152659,927837018,1081876979,579665051,217771647,1566896886,1347920681,190258835,20520054016
790547521,922576377,1082297188,578633437,216989786,1566327299,1347348359,190694076,20772612362
752349312,922177359,1085307593,579504258,225382396,1566337603,1348052359,190854371,20513867257
791957694,922644276,1081301773,579000857,224068749,1566166670,1347980466,191030536,20773604900
751954049,922272228,1080831613,577848584,220329976,1566376026,1347228091,190580664,20521502411
790426909,922955118,1082558235,579594131,219822627,1566453690,1348236768,190608238,20776962996
753395756,922710581,1081022833,579391538,222809234,1566855280,1348087807,190630495,20510235832
791947825,922672412,1080749844,577767443,221707704,1567129437,1347647122,190474504,20770782340
753910441,922247236,1081534113,579498486,223893530,1567025780,1349836023,190571551,20519994120
790400723,923069172,1081124693,579029971,225593194,1566214082,1346821487,191003346,20777880624
752586469,922782497,1081424001,578276268,221379707,1567382147,1347819249,190522450,20516042260
790342939,922543464,1081779790,578536009,223323600,1566606275,1348647879,190525199,20784293658
753234994,923123982,1081611309,579183982,222357435,1566671018,1347955693,191012116,20523051880
791224929,922963363,1080997256,579617693,220838520,1566233749,1347665068,190399006,20774058870
753875646,922072092,1081388684,578621484,221985674,1566836298,1347939824,190594831,20518304238
791551629,922004941,1080861304,579707707,222897557,1565960259,1347922224,191025141,20778524296
754820099,922830739,1082196703,578940439,223011633,1566603607,1348499031,190486158,20520442529
790282475,922592435,1083961208,577286747,221039684,1565984682,1347812218,190516973,20780231658
753905209,922997450,1082420559,578729902,223161109,1566280640,1348514050,190799900,20521734320
790984599,922888924,1086612969,579358515,220601878,1566891384,1347928601,190339342,20772813732
752821767,922967234,1081433152,579491538,223295328,1566779185,1348208378,190865289,20516147736
789909813,922319205,1082114990,578038982,223047377,1566522913,1347407808,190933292,20780448164
752876834,922348945,1080955959,578277265,218882630,1566109787,1347051156,190378361,20515052056
790782083,923219900,1082391917,579677179,225524737,1566205499,1347549055,190236669,20769908757
753265445,923143597,1083292096,580023808,224716646,1567194772,1347272967,190612341,20513493188
790463990,923047871,1081852401,577970164,222159959,1566454128,1348605175,190722942,20777347692
752327449,923132208,1082878174,579478632,222751917,1567322378,1348475865,190563129,20519538556
790696517,922835304,1082563392,579384666,219276143,1566471468,1346858274,190470511,20777346484
752158292,922382607,1081493608,578868127,220759339,1566948457,1347595789,190486674,20519750874
791228435,922846546,1082084914,579417170,223696690,1566885248,1347284744,191026496,20771656442
752273659,922897158,1082128289,579307780,223170399,1567804442,1347625918,190550230,20518891641
790963399,922773928,1082069423,580050337,223270289,1566873645,1348980407,190246140,20771905431
752119947,922341567,1082811377,579553920,221630162,1566392802,1348226044,190883454,20521781873
791038627,922867938,1081770863,579537156,218384270,1567054375,1347849286,190512263,20771472362
753589849,922596408,1081685176,579736084,225599693,1566527743,1347986441,190280920,20524359803
791966839,922487551,1081986757,579214851,226135373,1566404991,1348680694,190707485,20773899484
753473380,922783391,1080465895,579778321,222181019,1566685124,1348168875,190486292,20522255973
790416185,923031086,1081510525,577362958,221931233,1567589709,1348154255,190888540,20765779304
753635790,922726357,1081847740,579090220,223083016,1566075949,1348188023,191031116,20519345097
790580402,923029919,1082178807,577509481,226233680,1567519653,1348484333,190591053,20782311895
753140322,922034044,1080618311,578373596,220027772,1566273427,1348059572,190515697,20521952088
791077753,922252827,1079708350,577698125,222816656,1566245369,1347253458,190604194,20771502308
752964821,922733211,1079161740,579599581,224653192,1567047310,1347949704,190386493,20518503257
791061003,922572438,1082312183,579862021,221846929,1566556104,1347982343,190652038,20771982680
